country,vat_type,category_id,rate_type,rate_value,comment
BE,REDUCED,LOAN_LIBRARIES,EXEMPTED,0.0,"Books on loan by libraries (non-profit making organisations) - Article 44, § 2, 6° of the Belgian VAT Code"
BE,REDUCED,SPORTING_EVENTS,EXEMPTED,0.0,"Services provided by institutions not systemically aiming to make a profit and assigning revenues are only used to cover operational expenses according to article 44, § 2, 3° of the Belgian VAT Code. The VAT exemption only applies to the codes 93.11 and 93.12 if the latter conditions are met"
BE,REDUCED,NEW_PARKING_RATE,PARKING_RATE,12.0,Tyres and inner tubes for wheels of agricultural machinery and tractors excluding tyres and inner tubes for wheels of forestry tractors and motor cultivators.
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category  XXIII, N° 9 
The reduced rate only applies for:
- 0106 1900 if assistance dogs that assist persons with disabilities or illness and are trained in an assistance dog school recognized by the competent authority and equipment specially designed for service dogs
- 4201 0000 equipment specially designed for those dogs"
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category III fish, crustaceans, shellfish and mollusks for human consumption, excepted:
-ornamental fish in 0301 11, 0301 19
-crawfish 0306 11, 0306 31, 0306 91, lobsters 0306 12, 0306 32, 0306 92, crabs 0306 14, 0306 33, 0306 93, crayfish 0306 19 10, 0306 39 10, 0306 99 10 and oysters 0307 11, 0307 12, 0307 19, fresh (both live and dead), cooked in water, chilled, frozen, dried, salted, in brine, whether or not shelled or scalloped"
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category IV, V, VI, VII, excepted:
- breast milk 
- less than 85% standardized or skimmed milk in 0403 9091- 0403 9099
- jam, fruit jelly, marmalade etc. in 2007
- unfermented fruit and vegetable juices in 2009
- goods offered for sale as food for dogs, cats, caged birds such as parrots and songbirds, for aquarium fish, for hamsters, guinea pigs and other small pets in 1001 1900, 1001 9900, 1002 9000, 1003 9000, 1004 9000, 1005 9000, 1006 1030-1006 4000, ..."
BE,REDUCED,AGRICULTURAL_PRODUCTION,REDUCED_RATE,6.0,"Royal Decree n° 20, Table A, category XII:
- 8° fertilizers: the reduced rate only applies for: containing more than 0.01% iron by weight in 2835 2500; fertilizers in 31
- 9° animal products used for reproduction in 0511 1000, 0511 9190, 0511 9985"
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XII, the reduced rate only applies to food for animals and goods not offered for sale as food for dogs, cats, caged birds such as parrots and songbirds, for aquarium fish, for hamsters, guinea pigs and other small pets.
The reduced rate applies to agricultural salt - Royal Decree of 10 Sept 1987 in 2501 0099
(The Royal Decree of 8 Feb 1999 for substances intended for animal food)"
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category IV, V, VI, VII, excepted: 
- goods offered for sale as food for dogs, cats, caged birds (…) in 1007 9000, 1008 1000, 1008 2900-1008 9000, 1201 9000, 1202 4100-1203 0000, 1204 0090, 1205 1090, 1205 9000, 1206 0091, 1206 0099, 1207 1000, 1207 2900, 1207 3000, 1207 4090, 1207 5090, 1207 6000, 1207 7000, 1207 9190, 1207 9991-1209 2980, 1209 9130, 1209 9180, 1209 9999-1210 2090, 1212 9120, 1212 9200-1214 9090"
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category VIII

The reduced rate only applies to :
- goods that are not offered for sale as dog food, cats, caged birds such as parrots and songbirds, for aquarium fish, for hamsters, guinea pigs, and other small pets: 1101 0011 - 1107 2000
- other than goods offered for sale as starch:1108 1100-1108 1990
- inulin for human consumption :1108 2000
- wheat gluten for human consumption: 1109"
